title,release_year,parental_rating,movie_duration,movie_rating,description,genres,budget,gross_na,gross_worldwide
No Country for Old Men,2007,R,2h 2m,8.2,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,"Crime,Drama,Thriller","$25,000,000 (estimated)","$74,283,625","$171,632,777"
Unforgiven,1992,R,2h 10m,8.2,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""","Drama,Western","$14,400,000 (estimated)","$101,167,799","$159,167,799"
The Thing,1982,R,1h 49m,8.2,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"Horror,Mystery,Sci-Fi","$15,000,000 (estimated)","$19,857,465","$19,872,469"
Ran,1985,R,2h 40m,8.2,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn o...","Action,Drama,War","$11,500,000 (estimated)","$4,135,750","$4,166,319"
Jurassic Park,1993,PG-13,2h 7m,8.2,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned din...,"Action,Adventure,Sci-Fi","$63,000,000 (estimated)","$407,185,075","$1,114,456,337"
Shutter Island,2010,R,2h 18m,8.2,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about th...","Drama,Mystery,Thriller","$80,000,000 (estimated)","$128,012,934","$294,850,027"
Pan's Labyrinth,2006,R,1h 58m,8.2,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","Drama,Fantasy,War","$19,000,000 (estimated)","$37,646,380","$83,863,565"
The Truman Show,1998,PG,1h 43m,8.2,An insurance salesman discovers his whole life is actually a reality TV show.,"Comedy,Drama","$60,000,000 (estimated)","$125,618,201","$264,118,712"
Casino,1995,R,2h 58m,8.2,"In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite.","Crime,Drama","$52,000,000 (estimated)","$42,512,375","$116,112,375"
All About Eve,1950,Approved,2h 18m,8.2,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Drama,"$1,400,000 (estimated)","$63,463","$152,366"
Top Gun: Maverick,2022,PG-13,2h 10m,8.2,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ...","Action,Drama","$170,000,000 (estimated)","$718,732,821","$1,495,696,292"
The Sixth Sense,1999,PG-13,1h 47m,8.2,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wi...","Drama,Mystery,Thriller","$40,000,000 (estimated)","$293,506,292","$672,806,432"
There Will Be Blood,2007,R,2h 38m,8.2,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Drama,"$25,000,000 (estimated)","$40,222,514","$76,186,224"
Judgment at Nuremberg,1961,Approved,2h 59m,8.3,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.","Drama,War","$3,000,000 (estimated)","$12,180",
Some Like It Hot,1959,Approved,2h 1m,8.2,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","Comedy,Music,Romance","$2,883,848 (estimated)","$200,371",
The Kid,1921,Passed,1h 8m,8.2,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.","Comedy,Drama,Family","$250,000 (estimated)","$41,979",
The Wolf of Wall Street,2013,R,3h,8.2,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Biography,Comedy,Crime","$100,000,000 (estimated)","$116,900,694","$407,039,432"
Green Book,2018,PG-13,2h 10m,8.2,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,"Biography,Comedy,Drama","$23,000,000 (estimated)","$85,080,171","$321,752,656"
The Father,2020,PG-13,1h 37m,8.2,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his...","Drama,Mystery","$6,000,000 (estimated)","$2,122,771","$24,048,935"
For a Few Dollars More,1965,R,2h 12m,8.2,"Two bounty hunters with the same intentions team up to track down a gang of outlaws led by a psychotic Mexican bandit, who is plotting an audacious bank robbery.","Drama,Western","$600,000 (estimated)","$15,000,000","$15,000,000"
